Wall time,Step,Value
1714084892.1131384,0,0.4380420744419098
1714089789.7592456,1,0.33061471581459045
1714094488.595768,2,0.29304492473602295
1714099146.8187919,3,0.26949384808540344
1714103683.7355654,4,0.25266242027282715
1714108105.4822013,5,0.23977886140346527
1714112357.2605896,6,0.22945326566696167
1714113986.1286082,7,0.2209579199552536
1714114914.717107,8,0.21373513340950012
1714116296.9066002,9,0.20753119885921478
1714117001.9781315,10,0.20212535560131073
1714117701.451974,11,0.19732101261615753
1714118397.4153783,12,0.19301480054855347
1714119103.3632061,13,0.1891423910856247
1714119806.100558,14,0.18564318120479584
1714120509.78121,15,0.182428777217865
1714121482.9249184,16,0.1794854998588562
1714123194.8272517,17,0.1767694652080536
1714124192.5564404,18,0.17425934970378876
1714124961.2226696,19,0.1719181090593338
1714125708.7358162,20,0.1697392463684082
1714126462.9775019,21,0.16768792271614075
1714127215.7892594,22,0.16577307879924774
1714127961.4694157,23,0.16397644579410553
1714128696.9963863,24,0.1622767597436905
1714129472.7668133,25,0.1606648713350296
1714130235.891859,26,0.15913376212120056
1714130971.2129557,27,0.15769930183887482
1714131726.1812253,28,0.15632875263690948
1714132489.159639,29,0.15501902997493744
1714144937.6754816,30,0.15377314388751984
1714145595.1831107,31,0.15258952975273132
1714146248.7289057,32,0.15145279467105865
1714146892.2879212,33,0.1503596156835556
1714147547.4074342,34,0.14932580292224884
1714148204.0271516,35,0.1483260989189148
1714148860.866912,36,0.14736013114452362
1714149512.8156433,37,0.1464366614818573
1714150168.6195536,38,0.14554940164089203
1714150830.6509135,39,0.1447007805109024
1714151485.956054,40,0.14386682212352753
1714152139.8728087,41,0.14306938648223877
1714152794.080764,42,0.1423054039478302
1714153446.2144659,43,0.1415717452764511
1714154101.6523912,44,0.14085668325424194
1714154742.259235,45,0.14016756415367126
1714155367.9308114,46,0.13948529958724976
1714155994.8039312,47,0.1388467252254486
1714156633.0498135,48,0.1382196843624115
1714157272.805478,49,0.1376139223575592
1714157911.9668772,50,0.13702061772346497
1714158545.7428205,51,0.1364443600177765
1714159185.28027,52,0.13588233292102814
1714159824.9183202,53,0.13535378873348236
1714160452.6819222,54,0.13483071327209473
1714161070.2195115,55,0.1343078315258026
1714161686.9387674,56,0.1338137984275818
1714162304.545762,57,0.13333351910114288
1714162922.8310895,58,0.13286739587783813
1714163539.5250027,59,0.13240589201450348
1714164156.9580257,60,0.13196809589862823
1714164780.4528625,61,0.13151955604553223
1714165399.030992,62,0.13110043108463287
1714166017.3729162,63,0.1306917369365692
1714166636.019231,64,0.13028497993946075
1714167260.3701522,65,0.12989158928394318
1714167877.1639688,66,0.1295100897550583
1714168494.3140888,67,0.12913572788238525
1714169109.610454,68,0.1287764459848404
1714169727.1034002,69,0.12841865420341492
1714170344.0942562,70,0.12806421518325806
1714170961.8715384,71,0.1277303546667099
1714171578.995953,72,0.12738996744155884
1714172196.5136127,73,0.12705613672733307
1714172815.1078546,74,0.12675033509731293
1714173440.6266735,75,0.12644004821777344
1714174059.8132803,76,0.12613390386104584
1714174677.8785472,77,0.12584242224693298
1714175293.956455,78,0.12554927170276642
1714175913.4327865,79,0.12526117265224457
1714176531.357533,80,0.12498661130666733
1714177156.5397313,81,0.12471064925193787
1714177776.1415749,82,0.12444619834423065
1714178394.9640105,83,0.12418144196271896
1714179011.7391748,84,0.12392741441726685
1714179629.1228848,85,0.12367827445268631
1714180244.956353,86,0.12343257665634155
1714180864.1354663,87,0.12318626791238785
1714181480.7800188,88,0.12296020984649658
1714182097.0669463,89,0.12271992862224579
1714182714.562957,90,0.12249749153852463
1714183329.7198467,91,0.12227985262870789
1714183946.3488333,92,0.12205716222524643
1714184564.3216527,93,0.12184832990169525
1714185181.893143,94,0.12163534015417099
1714185797.839037,95,0.12143416702747345
1714186414.87855,96,0.12122461944818497
1714187030.8237739,97,0.12102813273668289
1714187647.3350394,98,0.12083890289068222
1714188265.1148603,99,0.1206521987915039
