Wall time,Step,Value
1713109973.9501185,0,0.6140110492706299
1713112556.3599927,1,0.7957849502563477
1713114923.7415798,2,0.8411207795143127
1713117337.9227304,3,0.8637205362319946
1713119772.2451434,4,0.8793991804122925
1713121791.623639,5,0.8894708156585693
1713124041.9510646,6,0.8960021734237671
1713126212.043423,7,0.9007220268249512
1713128078.8321688,8,0.9048285484313965
1713130009.1098938,9,0.9082009792327881
1713131932.1862786,10,0.9110325574874878
1713134043.0276926,11,0.9136366844177246
1713135686.0227728,12,0.9162493944168091
1713137563.7876737,13,0.9189828634262085
1713141275.7695785,14,0.9210073947906494
1713143102.034583,15,0.9228296279907227
1713145621.5103688,16,0.9246876835823059
1713147744.9058282,17,0.9265807867050171
1713149893.034908,18,0.9278912544250488
1713151853.9847124,19,0.9293045997619629
1713153602.9086585,20,0.9307006597518921
1713155395.5251296,21,0.931572675704956
1713157138.860149,22,0.9328595399856567
1713158832.7140548,23,0.9336191415786743
1713160623.732901,24,0.9344221353530884
1713162526.4367437,25,0.9353064894676208
1713164202.5384312,26,0.9361321926116943
1713166089.193039,27,0.9368765950202942
1713167940.357761,28,0.9377645254135132
1713169668.1819339,29,0.9381047487258911
1713171443.978854,30,0.9386312961578369
1713173248.7942889,31,0.9394281506538391
1713175004.432827,32,0.940051794052124
1713176932.855338,33,0.9404788017272949
1713180081.4054232,34,0.9411426782608032
1713184988.1328697,35,0.9415184259414673
1713189057.276108,36,0.942038893699646
1713192803.273199,37,0.9424084424972534
1713195656.3933396,38,0.9430043697357178
1713197609.7251217,39,0.9433218240737915
1713199949.4757843,40,0.9437081813812256
1713202290.707288,41,0.944288432598114
1713204604.3097897,42,0.9446558952331543
1713206814.9645295,43,0.944926917552948
1713208452.905444,44,0.9452892541885376
1713210342.978494,45,0.9456844329833984
1713212888.1200807,46,0.9459220170974731
1713214596.0544527,47,0.9462209939956665
1713216546.9881322,48,0.9466066360473633
1713218385.4487765,49,0.9467089176177979
1713220357.6408734,50,0.9469386339187622
1713222130.244149,51,0.9475549459457397
1713224475.4492242,52,0.9476176500320435
1713493941.970928,53,0.9479676485061646
1713501329.1855245,54,0.9479786157608032
1713503830.3247607,55,0.9483412504196167
1713506181.6765509,56,0.9485402703285217
1713508860.5907133,57,0.9486489295959473
1713510887.2946017,58,0.9488958120346069
1713515394.533711,59,0.9491606950759888
1713519034.675904,60,0.9494616389274597
1713521952.1774223,61,0.949557900428772
1713791653.1411862,62,0.9496956467628479
1713795808.6885986,63,0.9498497247695923
1713796954.2501721,64,0.9501425623893738
1713797882.3794513,65,0.9501334428787231
1713798736.3978453,66,0.9505153894424438
1713799567.522835,67,0.9506344795227051
1713800407.453895,68,0.9507626295089722
1713801237.4225156,69,0.9508593678474426
1713802062.230539,70,0.9511327147483826
1713802885.2981148,71,0.9511685371398926
1713803709.7700422,72,0.9513512849807739
1713804533.3583415,73,0.9514411687850952
1713805548.0670578,74,0.9517700672149658
1713807218.4233,75,0.9517993927001953
1713808532.8377547,76,0.9519356489181519
1713810224.6849349,77,0.9520678520202637
1713811343.7773292,78,0.9522269368171692
1713812156.180129,79,0.9522209167480469
1713813862.010092,80,0.9524279832839966
1713815417.879372,81,0.9525485038757324
1713816296.31566,82,0.9526668787002563
1713818061.87869,83,0.9527201652526855
1713819558.903361,84,0.9528195261955261
1713820396.6169355,85,0.952845573425293
1713821267.8790152,86,0.9531246423721313
1713822453.9406266,87,0.9531841278076172
1713824395.306528,88,0.9531102180480957
1713825212.7137992,89,0.9533450603485107
1713826679.3513842,90,0.9534560441970825
1713828327.8178504,91,0.9534940719604492
1713829146.06797,92,0.9536515474319458
1713830736.7159586,93,0.9536991119384766
1713832219.5232298,94,0.9537866115570068
1713833038.0282023,95,0.9538323879241943
1713834631.0294275,96,0.9540170431137085
1713836081.7092764,97,0.9540153741836548
1713836897.4915514,98,0.9542917609214783
1713838469.6143188,99,0.9542468786239624
