Wall time,Step,Value
1714080716.8195503,0,0.00039999998989515007
1714083580.6996987,1,0.0003979798057116568
1714085421.069839,2,0.0003959595924243331
1714087792.854908,3,0.00039393940824083984
1714090255.9465516,4,0.0003919191949535161
1714092353.873144,5,0.0003898989816661924
1714094641.8889608,6,0.00038787879748269916
1714096541.2651122,7,0.00038585858419537544
1714098844.62919,8,0.00038383837090805173
1714100416.3241477,9,0.00038181818672455847
1714102090.3887434,10,0.00037979797343723476
1714104140.0437365,11,0.0003777777892537415
1714105812.8227987,12,0.0003757575759664178
1714107731.3807034,13,0.0003737373626790941
1714109541.783602,14,0.0003717171784956008
1714111392.176242,15,0.0003696969652082771
1714113243.389125,16,0.00036767678102478385
1714114236.8729453,17,0.00036565656773746014
1714115559.481993,18,0.0003636363544501364
1714116472.6394103,19,0.00036161617026664317
1714117287.8063438,20,0.00035959595697931945
1714118104.6707742,21,0.00035757574369199574
1714118915.0491776,22,0.0003555555595085025
1714119739.1528373,23,0.00035353534622117877
1714120553.8366108,24,0.0003515151620376855
1714121769.1422675,25,0.0003494949487503618
1714123186.2513742,26,0.0003474747354630381
1714124265.5653863,27,0.00034545455127954483
1714125080.9746685,28,0.0003434343379922211
1714125897.299801,29,0.00034141415380872786
1714126715.4027789,30,0.00033939394052140415
1714127532.9495504,31,0.00033737372723408043
1714128354.811052,32,0.0003353535430505872
1714129180.4501493,33,0.00033333332976326346
1714130001.3450658,34,0.0003313131455797702
1714130825.166563,35,0.0003292929322924465
1714131645.9202485,36,0.0003272727190051228
1714132466.9036076,37,0.0003252525348216295
1714133287.7963047,38,0.0003232323215343058
1714134107.4109228,39,0.0003212121082469821
1714134927.621291,40,0.00031919192406348884
1714135752.1312702,41,0.00031717171077616513
1714136574.8035214,42,0.00031515152659267187
1714137396.3095944,43,0.00031313131330534816
1714138216.2522595,44,0.00031111110001802444
1714139037.6883779,45,0.0003090909158345312
1714139858.8944633,46,0.0003070707025472075
1714140680.3485646,47,0.0003050505183637142
1714141501.3032827,48,0.0003030303050763905
1714144369.8428867,49,0.0003010100917890668
1714145552.4832327,50,0.00029898990760557353
1714146375.0959535,51,0.0002969696943182498
1714147196.8125694,52,0.0002949494810309261
1714148016.7774894,53,0.00029292929684743285
1714148837.8273385,54,0.00029090908356010914
1714149659.7844188,55,0.0002888888993766159
1714150481.1731918,56,0.00028686868608929217
1714151304.8573077,57,0.00028484847280196846
1714152127.2273092,58,0.0002828282886184752
1714152951.899393,59,0.0002808080753311515
1714153770.400925,60,0.00027878789114765823
1714154595.8281307,61,0.0002767676778603345
1714155417.8079977,62,0.0002747474645730108
1714156238.3326995,63,0.00027272728038951755
1714157064.9107378,64,0.00027070706710219383
1714157889.5256884,65,0.0002686868829187006
1714158711.6235924,66,0.00026666666963137686
1714159533.3138475,67,0.00026464645634405315
1714160358.8982055,68,0.0002626262721605599
1714161178.8647783,69,0.0002606060588732362
1714161999.6062613,70,0.00025858584558591247
1714162820.421287,71,0.0002565656614024192
1714163643.2994096,72,0.0002545454481150955
1714164467.3030457,73,0.00025252526393160224
1714165290.200055,74,0.0002505050506442785
1714166110.863042,75,0.0002484848373569548
1714166932.7051318,76,0.00024646465317346156
1714167754.6240962,77,0.00024444443988613784
1714168577.5054634,78,0.00024242424115072936
1714169399.016393,79,0.00024040404241532087
1714170220.7575226,80,0.0002383838436799124
1714171044.0807428,81,0.00023636363039258868
1714171867.276706,82,0.0002343434316571802
1714172687.5276294,83,0.0002323232329217717
1714173508.4749792,84,0.00023030303418636322
1714174329.0584986,85,0.00022828283545095474
1714175151.8460915,86,0.00022626262216363102
1714175980.2367573,87,0.00022424242342822254
1714176801.092028,88,0.00022222222469281405
1714177623.6249022,89,0.00022020202595740557
1714178445.1331532,90,0.00021818181267008185
1714179264.4817128,91,0.00021616161393467337
1714180089.6651766,92,0.00021414141519926488
1714180911.7925124,93,0.0002121212164638564
1714181734.2302072,94,0.00021010100317653269
1714182639.268597,95,0.0002080808044411242
1714183459.7371504,96,0.00020606060570571572
1714184282.1565332,97,0.00020404040697030723
1714185106.6723416,98,0.00020202020823489875
1714185929.5349228,99,0.00019999999494757503
