Wall time,Step,Value
1713112534.7215836,0,0.7208603620529175
1713119945.129763,1,0.8589456081390381
1713127240.725686,2,0.8868166208267212
1713134179.507169,3,0.9000881314277649
1713268027.2434764,4,0.9079960584640503
1713272374.106099,5,0.9141285419464111
1713275651.3517525,6,0.9187902808189392
1713278671.50401,7,0.9220699667930603
1713281399.337139,8,0.9249095916748047
1713283883.1824512,9,0.92729651927948
1713285785.8490098,10,0.929326057434082
1713288210.159327,11,0.9310798645019531
1713290634.3886542,12,0.9326183795928955
1713293164.8054323,13,0.9340912103652954
1713295421.4287715,14,0.9354220032691956
1713297697.5450203,15,0.9365320205688477
1713299532.2445168,16,0.9376785755157471
1713301458.581277,17,0.9389256238937378
1713303740.141375,18,0.9397767782211304
1713305777.3016622,19,0.940731406211853
1713308760.8301084,20,0.9417036771774292
1713311482.949253,21,0.9423400163650513
1713315420.7737443,22,0.9432488679885864
1713319320.6984122,23,0.9439455270767212
1713322455.5430508,24,0.9444448351860046
1713324612.68281,25,0.945283830165863
1713327712.7139432,26,0.9459241032600403
1713330345.3698254,27,0.9466184377670288
1713333576.9251034,28,0.9469909071922302
1713336284.7722359,29,0.9475544691085815
1713338955.4325702,30,0.9481126666069031
1713341180.6173646,31,0.9487028121948242
1713343646.7780423,32,0.9492217302322388
1713355062.6120415,33,0.9497308731079102
1713364309.8177543,34,0.9502251148223877
1713370130.8664687,35,0.9506142139434814
1713482895.8680103,36,0.9510064721107483
1713510290.5005805,37,0.9514744281768799
1713516467.4541266,38,0.9517754316329956
1713517178.246763,39,0.9521284699440002
1713517862.1118424,40,0.9524505138397217
1713518533.761502,41,0.9528208374977112
1713519199.233104,42,0.9531527757644653
1713520014.3763938,43,0.9534810781478882
1713520706.757511,44,0.9537500143051147
1713521395.7849147,45,0.9540011882781982
1713522074.281532,46,0.9543646574020386
1713522770.3525321,47,0.9546452760696411
1713523462.6836624,48,0.9547311067581177
1713524154.7250848,49,0.9551182985305786
1713524845.6911588,50,0.9551620483398438
1713525528.5713987,51,0.9554623365402222
1713526218.681428,52,0.9556388854980469
1713526921.8008182,53,0.9557574987411499
1713790325.4678357,54,0.9560731649398804
1713794656.0733771,55,0.9562259912490845
1713796762.671898,56,0.9564678072929382
1713798015.4360569,57,0.956641674041748
1713799317.3435848,58,0.9567710757255554
1713800587.0446656,59,0.9570465087890625
1713801831.1471553,60,0.9571938514709473
1713803062.4033434,61,0.9573239088058472
1713804300.9614964,62,0.9574592113494873
1713805962.1271634,63,0.9576573371887207
1713809009.8314738,64,0.9578078985214233
1713811317.0089545,65,0.9579646587371826
1713813032.5163417,66,0.9580168128013611
1713815510.2493455,67,0.9581730961799622
1713817181.3593469,68,0.9583184719085693
1713819504.7677252,69,0.9585407972335815
1713820668.2923095,70,0.9586201310157776
1713822299.2743385,71,0.9587761163711548
1713824529.712729,72,0.9588690996170044
1713826156.1003633,73,0.9589903354644775
1713828439.7232018,74,0.9591383934020996
1713830064.5259612,75,0.9592918753623962
1713832288.4294434,76,0.9594021439552307
1713833912.0155914,77,0.9594318866729736
1713836142.3984776,78,0.9596165418624878
1713837766.5316572,79,0.9597468376159668
1713839992.9572952,80,0.9598091840744019
1713841612.5237384,81,0.9598258137702942
1713843839.95955,82,0.9599601030349731
1713845462.1985188,83,0.9601453542709351
1713847699.070566,84,0.9602255821228027
1713849314.6980698,85,0.9602456092834473
1713851544.7585552,86,0.9603566527366638
1713853169.04838,87,0.9603689908981323
1713855416.3015294,88,0.9605185985565186
1713857069.4027903,89,0.9607008695602417
1713859400.984916,90,0.9607163667678833
1713860650.8826013,91,0.9608938694000244
1713861894.7269237,92,0.9609760046005249
1713863150.9306324,93,0.9609861373901367
1713864404.121352,94,0.9611108303070068
1713865649.9337933,95,0.9610728621482849
1713867088.9120986,96,0.9611786603927612
1713868843.8658042,97,0.9613223075866699
1713871221.42749,98,0.9613667726516724
1713873122.3354838,99,0.9612895846366882
